name,d,Toffoli,CNOT,1-qubit
perm_opt,1,0.8333333333333334,2.8333333333333335,1.4563106796116505
perm,1,90.0,42.0,162.0
oldcount,1,124.0,16.0,101.0
optcount,1,124.0,16.0,101.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.7258064516129032,2.625,1.603960396039604
perm,1,90.0,38.0,156.0
oldcount,1,84.0,14.0,71.0
optcount,1,84.0,14.0,71.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.0714285714285714,2.7142857142857144,2.1971830985915495
perm,1,90.0,26.0,138.0
oldcount,1,46.0,8.0,51.0
optcount,1,46.0,8.0,51.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.9565217391304348,3.25,2.7058823529411766
perm,1,90.0,38.0,156.0
oldcount,1,54.0,14.0,41.0
optcount,1,54.0,14.0,41.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.6666666666666667,2.7142857142857144,3.8048780487804876
perm,1,90.0,14.0,120.0
oldcount,1,0.0,2.0,5.0
optcount,1,0.0,2.0,5.0
opt_old,1,0.0,1.0,1.0
perm_opt,1,0.0,7.0,24.0
perm,1,90.0,34.0,150.0
oldcount,1,68.0,12.0,63.0
optcount,1,68.0,12.0,63.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.3235294117647058,2.8333333333333335,2.380952380952381
perm,1,90.0,38.0,156.0
oldcount,1,102.0,14.0,89.0
optcount,1,102.0,14.0,89.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.8823529411764706,2.7142857142857144,1.752808988764045
perm,1,90.0,38.0,156.0
oldcount,1,88.0,14.0,75.0
optcount,1,88.0,14.0,75.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.0227272727272727,2.7142857142857144,2.08
perm,1,90.0,42.0,162.0
oldcount,1,98.0,16.0,75.0
optcount,1,98.0,16.0,75.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.9183673469387755,2.625,2.16
perm,1,90.0,34.0,150.0
oldcount,1,84.0,12.0,79.0
optcount,1,84.0,12.0,79.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.0714285714285714,2.8333333333333335,1.8987341772151898
perm,1,90.0,46.0,168.0
oldcount,1,98.0,18.0,63.0
optcount,1,98.0,18.0,63.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.9183673469387755,2.5555555555555554,2.6666666666666665
perm,1,90.0,34.0,150.0
oldcount,1,106.0,12.0,101.0
optcount,1,106.0,12.0,101.0
opt_old,1,1.0,1.0,1.0
