name,n,Toffoli,CNOT,1-qubit
oldcount,4,28.0,22.0,61.0
optcount,4,22.0,16.0,48.0
opt_old,4,0.7857142857142857,0.7272727272727273,0.7868852459016393
perm_opt,4,5.2727272727272725,6.625,6.354166666666667
perm,4,98.0,96.0,271.0
oldcount,4,24.0,20.0,57.0
optcount,4,10.0,10.0,32.0
opt_old,4,0.4166666666666667,0.5,0.5614035087719298
perm_opt,4,9.8,9.6,8.46875
perm,4,104.0,94.0,269.0
oldcount,4,30.0,22.0,61.0
optcount,4,30.0,22.0,61.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,3.466666666666667,4.2727272727272725,4.409836065573771
perm,4,128.0,114.0,331.0
oldcount,4,32.0,24.0,67.0
optcount,4,16.0,18.0,49.0
opt_old,4,0.5,0.75,0.7313432835820896
perm_opt,4,8.0,6.333333333333333,6.755102040816326
perm,4,104.0,90.0,253.0
oldcount,4,24.0,18.0,51.0
optcount,4,12.0,14.0,41.0
opt_old,4,0.5,0.7777777777777778,0.803921568627451
perm_opt,4,8.666666666666666,6.428571428571429,6.170731707317073
perm,4,86.0,80.0,229.0
oldcount,4,30.0,22.0,61.0
optcount,4,14.0,12.0,36.0
opt_old,4,0.4666666666666667,0.5454545454545454,0.5901639344262295
perm_opt,4,6.142857142857143,6.666666666666667,6.361111111111111
perm,4,122.0,116.0,323.0
oldcount,4,32.0,24.0,67.0
optcount,4,16.0,18.0,49.0
opt_old,4,0.5,0.75,0.7313432835820896
perm_opt,4,7.625,6.444444444444445,6.591836734693878
perm,4,98.0,80.0,231.0
oldcount,4,24.0,18.0,53.0
optcount,4,18.0,12.0,38.0
opt_old,4,0.75,0.6666666666666666,0.7169811320754716
perm_opt,4,5.444444444444445,6.666666666666667,6.078947368421052
perm,4,92.0,82.0,235.0
oldcount,4,28.0,22.0,63.0
optcount,4,8.0,10.0,32.0
opt_old,4,0.2857142857142857,0.45454545454545453,0.5079365079365079
perm_opt,4,11.5,8.2,7.34375
perm,4,68.0,58.0,171.0
oldcount,4,28.0,20.0,59.0
optcount,4,12.0,14.0,43.0
opt_old,4,0.42857142857142855,0.7,0.7288135593220338
perm_opt,4,5.666666666666667,4.142857142857143,3.9767441860465116
perm,4,116.0,114.0,323.0
oldcount,4,30.0,22.0,63.0
optcount,4,20.0,18.0,53.0
opt_old,4,0.6666666666666666,0.8181818181818182,0.8412698412698413
perm_opt,4,5.8,6.333333333333333,6.09433962264151
perm,4,110.0,96.0,277.0
oldcount,4,24.0,20.0,57.0
optcount,4,14.0,16.0,45.0
opt_old,4,0.5833333333333334,0.8,0.7894736842105263
perm_opt,4,7.857142857142857,6.0,6.155555555555556
perm,4,86.0,80.0,233.0
oldcount,4,26.0,20.0,59.0
optcount,4,14.0,16.0,47.0
opt_old,4,0.5384615384615384,0.8,0.7966101694915254
perm_opt,4,6.142857142857143,5.0,4.957446808510638
perm,4,98.0,96.0,265.0
oldcount,4,24.0,20.0,55.0
optcount,4,18.0,18.0,49.0
opt_old,4,0.75,0.9,0.8909090909090909
perm_opt,4,5.444444444444445,5.333333333333333,5.408163265306122
perm,4,86.0,76.0,209.0
oldcount,4,24.0,20.0,57.0
optcount,4,14.0,16.0,45.0
opt_old,4,0.5833333333333334,0.8,0.7894736842105263
perm_opt,4,6.142857142857143,4.75,4.644444444444445
perm,4,98.0,84.0,235.0
oldcount,4,22.0,18.0,49.0
optcount,4,12.0,14.0,41.0
opt_old,4,0.5454545454545454,0.7777777777777778,0.8367346938775511
perm_opt,4,8.166666666666666,6.0,5.7317073170731705
perm,4,110.0,100.0,285.0
oldcount,4,28.0,22.0,61.0
optcount,4,8.0,10.0,30.0
opt_old,4,0.2857142857142857,0.45454545454545453,0.4918032786885246
perm_opt,4,13.75,10.0,9.5
perm,4,116.0,102.0,299.0
oldcount,4,22.0,18.0,53.0
optcount,4,12.0,14.0,39.0
opt_old,4,0.5454545454545454,0.7777777777777778,0.7358490566037735
perm_opt,4,9.666666666666666,7.285714285714286,7.666666666666667
perm,4,92.0,82.0,247.0
oldcount,4,22.0,18.0,53.0
optcount,4,16.0,16.0,47.0
opt_old,4,0.7272727272727273,0.8888888888888888,0.8867924528301887
perm_opt,4,5.75,5.125,5.25531914893617
perm,4,92.0,74.0,217.0
oldcount,4,28.0,22.0,61.0
optcount,4,12.0,16.0,43.0
opt_old,4,0.42857142857142855,0.7272727272727273,0.7049180327868853
perm_opt,4,7.666666666666667,4.625,5.046511627906977
perm,4,86.0,80.0,223.0
oldcount,4,24.0,20.0,57.0
optcount,4,4.0,8.0,26.0
opt_old,4,0.16666666666666666,0.4,0.45614035087719296
perm_opt,4,21.5,10.0,8.576923076923077
perm,4,122.0,116.0,323.0
oldcount,4,32.0,24.0,67.0
optcount,4,20.0,16.0,46.0
opt_old,4,0.625,0.6666666666666666,0.6865671641791045
perm_opt,4,6.1,7.25,7.021739130434782
perm,4,110.0,104.0,293.0
oldcount,4,24.0,20.0,57.0
optcount,4,14.0,12.0,36.0
opt_old,4,0.5833333333333334,0.6,0.631578947368421
perm_opt,4,7.857142857142857,8.666666666666666,8.13888888888889
perm,4,128.0,122.0,345.0
oldcount,4,22.0,18.0,49.0
optcount,4,16.0,16.0,45.0
opt_old,4,0.7272727272727273,0.8888888888888888,0.9183673469387755
perm_opt,4,8.0,7.625,7.666666666666667
perm,4,92.0,78.0,225.0
oldcount,4,26.0,20.0,59.0
optcount,4,20.0,18.0,55.0
opt_old,4,0.7692307692307693,0.9,0.9322033898305084
perm_opt,4,4.6,4.333333333333333,4.090909090909091
perm,4,140.0,134.0,377.0
oldcount,4,28.0,22.0,61.0
optcount,4,4.0,8.0,24.0
opt_old,4,0.14285714285714285,0.36363636363636365,0.39344262295081966
perm_opt,4,35.0,16.75,15.708333333333334
perm,4,110.0,104.0,295.0
oldcount,4,24.0,20.0,57.0
optcount,4,10.0,10.0,30.0
opt_old,4,0.4166666666666667,0.5,0.5263157894736842
perm_opt,4,11.0,10.4,9.833333333333334
perm,4,122.0,116.0,327.0
oldcount,4,28.0,22.0,63.0
optcount,4,24.0,16.0,48.0
opt_old,4,0.8571428571428571,0.7272727272727273,0.7619047619047619
perm_opt,4,5.083333333333333,7.25,6.8125
perm,4,122.0,112.0,319.0
oldcount,4,26.0,20.0,55.0
optcount,4,16.0,16.0,43.0
opt_old,4,0.6153846153846154,0.8,0.7818181818181819
perm_opt,4,7.625,7.0,7.4186046511627906
perm,4,122.0,116.0,321.0
oldcount,4,18.0,16.0,45.0
