name,d,Toffoli,CNOT,1-qubit
perm_opt,51,1.6079170593779453,4.884146341463414,4.681632653061224
perm,51,3368.0,1542.0,5643.0
oldcount,51,2392.0,366.0,1315.0
optcount,51,2062.0,316.0,1193.0
opt_old,51,0.8620401337792643,0.8633879781420765,0.9072243346007605
perm_opt,51,1.6333656644034917,4.879746835443038,4.730092204526404
perm,51,3368.0,1502.0,5513.0
oldcount,51,2478.0,382.0,1385.0
optcount,51,1994.0,310.0,1189.0
opt_old,51,0.804681194511703,0.8115183246073299,0.8584837545126354
perm_opt,51,1.6890672016048145,4.84516129032258,4.636669470142977
perm,51,3412.0,1650.0,5827.0
oldcount,51,2574.0,386.0,1387.0
optcount,51,2156.0,330.0,1245.0
opt_old,51,0.8376068376068376,0.8549222797927462,0.8976207642393655
perm_opt,51,1.582560296846011,5.0,4.680321285140562
perm,51,3324.0,1494.0,5439.0
oldcount,51,2476.0,376.0,1327.0
optcount,51,2002.0,306.0,1171.0
opt_old,51,0.808562197092084,0.8138297872340425,0.8824415975885456
perm_opt,51,1.6603396603396603,4.882352941176471,4.644748078565328
perm,51,3412.0,1494.0,5549.0
oldcount,51,2652.0,398.0,1445.0
optcount,51,2194.0,334.0,1295.0
opt_old,51,0.8273001508295625,0.8391959798994975,0.8961937716262975
perm_opt,51,1.5551504102096627,4.473053892215569,4.2849420849420845
perm,51,3368.0,1530.0,5595.0
oldcount,51,2360.0,368.0,1341.0
optcount,51,2046.0,318.0,1221.0
opt_old,51,0.8669491525423729,0.8641304347826086,0.9105145413870246
perm_opt,51,1.64613880742913,4.811320754716981,4.582309582309582
perm,51,3324.0,1450.0,5421.0
oldcount,51,2358.0,368.0,1295.0
optcount,51,1840.0,300.0,1157.0
opt_old,51,0.7803223070398643,0.8152173913043478,0.8934362934362934
perm_opt,51,1.8065217391304347,4.833333333333333,4.685393258426966
perm,51,3412.0,1550.0,5637.0
oldcount,51,2722.0,404.0,1459.0
optcount,51,2306.0,346.0,1315.0
opt_old,51,0.8471711976487877,0.8564356435643564,0.9013022618231665
perm_opt,51,1.4796183868169992,4.479768786127168,4.286692015209126
perm,51,3324.0,1610.0,5661.0
oldcount,51,2552.0,388.0,1387.0
optcount,51,2078.0,322.0,1241.0
opt_old,51,0.8142633228840125,0.8298969072164949,0.8947368421052632
perm_opt,51,1.5996150144369585,5.0,4.561643835616438
perm,51,3280.0,1430.0,5341.0
oldcount,51,2354.0,374.0,1339.0
optcount,51,2002.0,320.0,1215.0
opt_old,51,0.8504672897196262,0.8556149732620321,0.90739357729649
perm_opt,51,1.6383616383616384,4.46875,4.3958847736625515
perm,51,3412.0,1526.0,5629.0
oldcount,51,2214.0,340.0,1207.0
optcount,51,1890.0,300.0,1111.0
opt_old,51,0.8536585365853658,0.8823529411764706,0.9204639602319801
perm_opt,51,1.8052910052910054,5.086666666666667,5.066606660666067
perm,51,3412.0,1558.0,5685.0
oldcount,51,2520.0,390.0,1405.0
optcount,51,2066.0,326.0,1237.0
opt_old,51,0.8198412698412698,0.8358974358974359,0.8804270462633452
perm_opt,51,1.6515004840271055,4.779141104294479,4.595796281325788
perm,51,3368.0,1498.0,5541.0
oldcount,51,2482.0,382.0,1395.0
